winery,wine,year,rating,num_review,region,price,type,grapes
Herència Altés,Garnatxa Blanca 2020,2020,"3,7",81,España / Cataluña / Terra Alta,"7,70",Vino blanco,100 % de Grenache Blanc
Mas Foraster,Josep Foraster Selecció Blanc 2019,2019,"3,9",79,España / Cataluña / Conca de Barberà,"12,55",Vino blanco,"Chardonnay, Grenache Blanc, Macabeo"
Mar de Frades,Rías Baixas Albariño Brut Nature N.V.,0587,"3,9",1041,España / Galicia / Rías Baixas,"19,76",Vino espumoso,100 % de Albariño
Bodegas Olarra,Añares Crianza Rioja 2018,2018,"3,6",516,España / Rioja,"6,90",Vino tinto,"Tempranillo, Mazuelo, Graciano, Garnacha"
Finca La Estacada,Reserva Varietales 2014,2014,"3,6",72,España / Castilla / Uclés,9,Vino tinto,"Shiraz/Syrah, Merlot, Tempranillo, Cabernet Sauvignon"
Beso de Vino,Syrah - Garnacha 2016,2016,"3,5",255,España / Aragón / Cariñena,"4,50",Beso de Vino,"Shiraz/Syrah, Garnacha"
Volver,Paso a Paso Tempranillo 2020,2020,"3,7",103,España / Castilla,"6,18",Vino tinto,100 % de Tempranillo
Remelluri,Rioja Blanco 2018,2018,"4,4",210,España / Rioja,"55,90",Vino blanco,100 % de Garnacha Blanca
Jordi Oliver Conti,9SET2 2019,2019,"3,7",30,España / Cataluña / Empordà,"9,95",Vino tinto,"Cabernet Sauvignon, Cabernet Franc, Grenache, Merlot"
Vinícola Real,Cueva del Monge Blanco 2016,2016,"4,2",41,España / Rioja,"17,99",Vino blanco,"Garnacha Blanca, Malvasia, Viura"
Condado de Haza,Crianza Ribera del Duero 1997,1997,"3,7",39,España / Castilla y León / Ribera del Duero,"34,95",Vino tinto,100 % de Tempranillo
Enrique Mendoza,Merlot - Monastrell 2018,2018,"3,7",61,España / Valencia / Alicante,"10,62",Vino tinto,"50 % de Merlot, 50 % de Monastrell"
Pagos de Valcerracín,Crianza Vendimia Seleccionada 2018,2018,"4,2",34,España / Castilla y León / Ribera del Duero,"14,90",Vino tinto,100 % de Tempranillo
Fento,Xabre 2019,2019,"4,2",34,España / Galicia / Ribeira Sacra,"14,95",Vino tinto,100 % de Garnacha Tintorera
Bodegas Martín Códax,Crianza Sobre Lías 2018,2018,"3,7",26,España / Galicia / Rías Baixas,"18,05",Vino blanco,Albariño
Cerro Gallina,Bobal 2014,2014,"4,0",194,España / Valencia / Utiel-Requena,"16,70",Vino tinto,100 % de Bobal
Hydria,88 Teclas 2016,2016,"4,1",30,España / Murcia,18,Vino tinto,Monastrell
Bodegas Ochoa,Gran Reserva Navarra 2012,2012,"4,1",56,España / Navarra,"22,25",Vino tinto,Tempranillo
Bodegas Arraez,Vividor Bobal 2019,2019,"3,6",413,España / Valencia / Utiel-Requena,"6,70",Vino tinto,100 % de Bobal
Finca Collado,Syrah - Monastrell 2017,2017,"3,4",80,España / Valencia,"13,95",Vino tinto,"Shiraz/Syrah, Monastrell"
Pazo de Valdeconde,Setembro Branco 2019,2019,"3,6",28,España / Galicia,"7,65",Vino blanco,"Treixadura, Albariño, Godello"
La Rioja Alta,Gran Reserva 890 2005,2005,"4,5",3533,España / Rioja,"149,50",Vino tinto,"Tempranillo, Graciano"
Masia Serra,Mosst 2019,2019,"3,5",41,España / Cataluña / Empordà,"11,68",Vino blanco,"Grenache, Moscato, Garnacha Roja (Gris)"
Miquel Oliver,Muscat 2021,2021,"3,8",29,España / Islas Baleares / Mallorca / Plà i Llevant,"10,47",Vino blanco,Muscat Blanc
Luis Cañas,Rioja Reserva 2015,2015,"4,0",1487,España / Rioja,"14,40",Vino tinto,100 % de Tempranillo
Massaluca,Garnatxa Blanca - Macabeu 2021,2021,"3,8",47,España / Cataluña / Terra Alta,"7,98",Vino blanco,"Macabeo, Garnacha Blanca"
Viñas del Cénit,Venta Mazarrón Tempranillo 2016,2016,"3,7",364,España / Castilla y León / Tierra del Vino de Zamora,"11,49",Tierra del Vino de Zamora,100 % de Tempranillo
Volver,Tarima Hill Old Vines Monastrell 2015,2015,"4,0",6120,España / Valencia / Alicante,"12,09",Vino tinto,100 % de Monastrell
Lan,Crianza Rioja 2018,2018,"3,8",1158,España / Rioja,"7,75",Vino tinto,"95 % de Tempranillo, 5 % de Mazuelo"
Avgvstvs,Chardonnay 2020,2020,"4,0",33,España / Cataluña / Penedès,"48,50",Vino blanco,100 % de Chardonnay
Volver,Triga 2012,2012,"4,2",596,España / Valencia / Alicante,"31,90",Vino tinto,"85 % de Monastrell, 15 % de Cabernet Sauvignon"
Vega Sicilia,Valbuena 5º 2012,2012,"4,6",6036,España / Castilla y León / Ribera del Duero,"208,12",Vino tinto,"Merlot, Tempranillo"
Alta Alella,Laietà Gran Reserva Brut Nature 2018,2018,"4,1",54,España / Cava,"17,80",Vino espumoso,"Chardonnay, Pinot Noir, Xarel-lo"
Cune (CVNE),Reserva 2004,2004,"4,0",159,España / Rioja,"10,90",Vino tinto,Tempranillo
D. Mateos,La Mateo Colección de Familia Vendimia 2018,2018,"4,3",180,España / Rioja,"27,90",Vino tinto,100 % de Graciano
Pradorey,10 Meses Barrica 2019,2019,"3,6",102,España / Castilla y León / Ribera del Duero,"9,89",Vino tinto,Tempranillo
